房源编号 城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼层 电梯 车位 用水 用电 燃气 供暖
SH2289085439979552768 上海 闵行 浦江 旭辉浦江国际广场(酒店式公寓) 28 整租 东/东南 1720元/月 (月付价) 1室 1厅 1卫 随时入住 6个月以上 随时可 9 18层 无 NULL 商水 商电 无 NULL 
SH2311380996936695808 上海 杨浦 中原 国和路605弄 12 合租 北 2300元/月 (季付价) 2室 1厅 1卫 随时入住 1~2年 需提前预约 6 6层 无 NULL 民水 民电 有 自采暖 
SH2306624674026758144 上海 闵行 浦江 浦江世博家园七街坊 22 合租 南 1150元/月 (月付价) 3室 1厅 2卫 随时入住 3~24个月 随时可 7 11层 有 租用车位 民水 民电 无 NULL 
SH2297541210765524992 上海 普陀 长风 长风一村小区 32 整租 南 3500元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2141729764921319424 上海 浦东 惠南 丽水雅苑 79 整租 南 1800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 18层 无 NULL 民水 民电 无 NULL 
SH2306440505745489920 上海 闵行 古美 欧风花都 17 合租 南 1790元/月 (月付价) 3室 1厅 2卫 随时入住 6~12个月 随时可 1 6层 无 租用车位 民水 民电 无 自采暖 
SH2302865366948249600 上海 徐汇 漕河泾 桂林苑 46 整租 东/东北 5800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2307681259268079616 上海 奉贤 南桥 解放新村 58 整租 南 1800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2306247735877312512 上海 徐汇 衡山路 上方花园 35 整租 北 5500元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 4层 无 NULL 民水 民电 无 NULL 
SH2301379737425018880 上海 徐汇 徐家汇 漕溪大楼 55 整租 南 6800元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 17层 有 NULL 民水 民电 有 自采暖 
SH2283903551912542208 上海 普陀 真光 阳光威尼斯(三期) 75 整租 东南 4400元/月 (季付价) 2室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 26层 有 NULL 民水 民电 无 NULL 
SH2308500890408976384 上海 浦东 合庆 张江人才公寓 15 合租 北 1300元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 3 6层 NULL NULL NULL NULL NULL NULL 
SH2294125739114766336 上海 徐汇 龙华 三江小区 54 整租 南 5500元/月 (季付价) 2室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 有 NULL 
SH2285329382992527360 上海 静安 江宁路 胶州教师公寓 6 合租 南 2500元/月 (月付价) 4室 1厅 1卫 随时入住 1年 随时可 16 28层 有 租用车位 民水 民电 有 NULL 
SH2294925838950334464 上海 浦东 川沙 河滨小区 38 整租 北 2600元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 一般下班后可 低楼层 5层 无 NULL 民水 民电 有 自采暖 
SH2275902462672248832 上海 浦东 高行 华高一村 58 整租 南 3700元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 一般下班后可 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302833654059245568 上海 普陀 甘泉宜川 甘泉一村 28 整租 南 3600元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 5层 无 NULL 民水 民电 无 集中供暖 
SH2300034961001938944 上海 闵行 古美 蓝色港湾(公寓) 10 合租 西南 1500元/月 (月付价) 4室 1厅 2卫 随时入住 1年以上 随时可 2 15层 无 NULL 民水 民电 无 NULL 
SH2289882308029202432 上海 青浦 夏阳 宜达新居 61 整租 南 2500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL NULL NULL 无 NULL 
SH2300655046142205952 上海 闵行 老闵行 凤庆小区 51 整租 南 2600元/月 NULL 2室 1厅 1卫 2019-08-06 NULL 需提前预约 低楼层 5层 无 NULL 民水 民电 无 NULL 
SH2294916366618337280 上海 杨浦 东外滩 平凉路627弄 37 整租 东南/南 3500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2307871408057237504 上海 普陀 中远两湾城 中远两湾城 12 合租 南 2000元/月 (月付价) 5室 1厅 2卫 随时入住 6~12个月 随时可 2 25层 有 NULL 民水 民电 无 NULL 
SH2276725099267112960 上海 青浦 徐泾 蟠龙馨苑 15 合租 南 1500元/月 (月付价) 3室 1厅 1卫 随时入住 6~24个月 随时可 3 18层 NULL NULL NULL NULL NULL NULL 
SH2237020173268172800 上海 浦东 惠南 民乐城汇雅苑 72 整租 南 1100元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 高楼层 18层 无 NULL NULL NULL NULL NULL 
SH2314327220367400960 上海 静安 曹家渡 怡乐花园 120 整租 南 2900元/月 (月付价) 4室 2厅 2卫 随时入住 1年以上 随时可 13 29层 有 租用车位 民水 民电 有 NULL 
SH2308909057626611712 上海 浦东 高行 新高苑(二期) 25 整租 南 2200元/月 (月付价) 1室 0厅 1卫 随时入住 1~3年 随时可 2 11层 有 NULL 民水 民电 有 NULL 
SH2301454974137139200 上海 闵行 颛桥 清馨苑 12 合租 南 1200元/月 (月付价) 5室 1厅 2卫 随时入住 1年 随时可 5 6层 无 NULL 民水 民电 无 NULL 
SH2309409537683365888 上海 杨浦 控江路 凤城三村 33 整租 南 3500元/月 NULL 1室 0厅 1卫 2019-08-23 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2197570460500639744 上海 闸北 西藏北路 芷江中路459弄 35 整租 东 4300元/月 (季付价) 2室 0厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2314373010574024704 上海 浦东 惠南 惠康苑 79 整租 南 2500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 18层 有 NULL 民水 民电 无 自采暖 
SH2279545653716074496 上海 普陀 中远两湾城 中远两湾城 32 合租 东南 2800元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 17 34层 有 NULL 民水 民电 无 NULL 
SH2294036516504346624 上海 闵行 浦江 永康城宝铭莲浦苑 60 整租 南 1900元/月 (月付价) 1室 1厅 1卫 随时入住 1年 随时可 6 11层 无 NULL 民水 民电 无 NULL 
SH2298355577853845504 上海 静安 南京西路 华业小区 78 整租 南 8000元/月 NULL 2室 0厅 1卫 2019-08-10 NULL 需提前预约 中楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2299752537642762240 上海 浦东 惠南 远洋万和四季 90 整租 南 3000元/月 NULL 3室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 17层 有 NULL 民水 民电 有 自采暖 
SH2295601931143348224 上海 徐汇 徐汇滨江 滨江小区 69 整租 南 5000元/月 (季付价) 2室 1厅 1卫 2019-08-15 2年以内 需提前预约 高楼层 6层 无 NULL NULL NULL 有 NULL 
SH2284720047383379968 上海 普陀 万里 交通路3193弄 45 整租 南 3600元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 一般下班后可 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2314513024301670400 上海 浦东 陆家嘴 崂山五村 30 整租 东 3600元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2275395033198755840 上海 静安 南京西路 泰兴路362弄 43 整租 南 8000元/月 (季付价) 2室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 4层 无 NULL 民水 民电 无 NULL 
SH2250525063038107648 上海 青浦 徐泾 西郊一区 18 整租 东 1500元/月 (月付价) 1室 1厅 1卫 随时入住 1~12个月 随时可 4 4层 NULL NULL NULL NULL NULL NULL 
SH2298327628160958464 上海 普陀 桃浦 桃浦七村雪松苑 51 整租 南 3700元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2305071291503755264 上海 浦东 惠南 禹洲商业广场 50 整租 东 1800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 17层 无 NULL 商水 商电 无 NULL 
SH2311384050180292608 上海 闸北 西藏北路 三宝花苑 15 合租 南 2800元/月 (月付价) 4室 1厅 2卫 随时入住 1~2年 随时可 12 24层 NULL NULL NULL NULL NULL NULL 
SH2261461475803799552 上海 普陀 中远两湾城 中远两湾城 22 合租 南 3100元/月 (月付价) 3室 1厅 2卫 随时入住 1~12个月 随时可 20 34层 有 NULL 民水 民电 无 NULL 
SH2199926497350270976 上海 松江 莘闵别墅 新南路壹号(别墅) 50 整租 南 1900元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 4层 无 NULL 民水 民电 无 NULL 
SH2150601798132973568 上海 静安 江宁路 静安新格公寓 49 整租 南 9000元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 26层 有 NULL 民水 民电 有 自采暖 
SH2314268415520407552 上海 闵行 老闵行 兰坪三村 28 整租 南 1799元/月 (月付价) 1室 1厅 1卫 随时入住 1~12个月 随时可 3 4层 NULL NULL NULL NULL NULL NULL 
SH2298452397238001664 上海 徐汇 康健 康健路25弄 46 整租 南 5500元/月 NULL 1室 2厅 1卫 2019-08-15 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 自采暖 
SH2270079785726656512 上海 闸北 彭浦 康平小区 32 整租 南 3500元/月 NULL 1室 0厅 1卫 2019-08-30 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302800665262424064 上海 普陀 长寿路 圣天地酒店式公寓 26 整租 东 4600元/月 (季付价) 1室 0厅 1卫 随时入住 3年以内 需提前预约 中楼层 25层 有 NULL 民水 民电 无 自采暖 
SH2295359136902422528 上海 浦东 康桥 海尚乐苑 78 整租 南 3000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 14层 有 NULL 民水 民电 无 NULL 
SH2298496136731959296 上海 浦东 川沙 南桥小区 60 整租 南 3300元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2300407999078080512 上海 普陀 真如 车站新村(普陀) 36 整租 南 3800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 有 NULL 
SH2314247710514872320 上海 浦东 外高桥 和龙路616弄 19 合租 南 1700元/月 (季付价) 5室 0厅 1卫 随时入住 1个月以上 随时可 1 6层 NULL NULL NULL NULL NULL NULL 
SH2299862326402359296 上海 松江 松江新城 锦桂苑 18 合租 南 1500元/月 (季付价) 4室 1厅 2卫 随时入住 1~12个月 随时可 6 6层 无 NULL 民水 民电 无 NULL 
SH2306367888560766976 上海 闵行 莘庄 沁春园二村 12 合租 北 1500元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 5 6层 NULL NULL NULL NULL NULL NULL 
SH2308464419375955968 上海 徐汇 田林 钦州花苑 55 整租 南 6500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 29层 有 NULL 民水 民电 有 自采暖 
SH2288858898641190912 上海 普陀 中远两湾城 中远两湾城 20 合租 南 2600元/月 (月付价) 4室 2厅 2卫 随时入住 1年 随时可 5 34层 有 NULL 民水 民电 无 NULL 
SH2229631187264217088 上海 浦东 周浦 公元新村 40 整租 南 2600元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2269966492911550464 上海 徐汇 衡山路 兴国路229弄 30 整租 南 6400元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 中楼层 5层 无 NULL 民水 民电 无 NULL 
SH2286265316445536256 上海 宝山 罗店 罗南二村 65 整租 南 2000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303474239866945536 上海 浦东 金桥 阳光城市家园 57 整租 南 3800元/月 (季付价) 1室 1厅 1卫 2019-08-20 1年以内 需提前预约 低楼层 16层 有 NULL 民水 民电 无 NULL 
SH2310684816191782912 上海 普陀 真如 金鼎花苑 30 整租 南 3300元/月 (月付价) 1室 1厅 1卫 随时入住 6~12个月 随时可 2 8层 有 NULL 民水 民电 有 NULL 
SH2258644842416979968 上海 静安 江宁路 武定路579号 49 整租 南/北 6500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2300022879720308736 上海 虹口 北外滩 保民新村 27 整租 南 3500元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312048801814151168 上海 闵行 莘庄 小富人家 16 合租 南 1588元/月 (季付价) 4室 2厅 2卫 随时入住 1~12个月 随时可 2 6层 无 租用车位 民水 民电 无 NULL 
SH2239850488265195520 上海 徐汇 田林 田林十一村 50 整租 南 6000元/月 (季付价) 2室 1厅 1卫 随时入住 3年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2301265926957572096 上海 浦东 周浦 瑞和苑 54 整租 南 2800元/月 (季付价) 1室 1厅 1卫 2019-08-20 2年以内 需提前预约 中楼层 14层 有 NULL 民水 民电 无 NULL 
SH2123567254481682432 上海 青浦 夏阳 新城盛景园 86 整租 南 3000元/月 NULL 3室 2厅 1卫 随时入住 NULL 一般下班后可 中楼层 5层 无 NULL 民水 民电 无 NULL 
SH2252032203544330240 上海 徐汇 斜土路 百乐公寓 12 合租 南 3000元/月 (月付价) 4室 1厅 2卫 随时入住 1年 随时可 5 7层 无 NULL 民水 民电 有 NULL 
SH2290399185356734464 上海 青浦 盈浦 留水园 83 整租 南 2800元/月 NULL 3室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2300441793122279424 上海 闵行 颛桥 万顺水原墅(公寓) 28 整租 南 1750元/月 (月付价) 1室 1厅 1卫 随时入住 1~12个月 随时可 3 4层 NULL NULL NULL NULL NULL NULL 
SH2311508209422311424 上海 徐汇 徐家汇 乐山六七村 34 整租 南 4600元/月 (季付价) 1室 0厅 1卫 2019-08-10 2年以内 需提前预约 低楼层 7层 无 NULL 民水 民电 有 NULL 
SH2291260459921178624 上海 闸北 大宁 洛川中路920号 34 整租 南 3500元/月 (季付价) 1室 0厅 1卫 随时入住 2年以内 一般下班后可 高楼层 6层 无 NULL 民水 民电 有 集中供暖 
SH2280534096197189632 上海 奉贤 南桥 中粮南桥半岛 98 整租 南 1800元/月 NULL 3室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 8层 无 NULL NULL NULL 无 NULL 
SH2308531980821864448 上海 闵行 浦江 闵浦一村 20 整租 南 1500元/月 (月付价) 1室 0厅 1卫 随时入住 1年 随时可 7 11层 无 NULL 民水 民电 无 NULL 
SH2314468167118241792 上海 杨浦 周家嘴路 时运苑 10 合租 东南 2000元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 4 15层 有 租用车位 民水 民电 无 自采暖 
SH1971026279214096384 上海 浦东 川沙 晨阳小区 77 整租 南/北 2500元/月 (季付价) 2室 2厅 1卫 随时入住 1年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2309131775622266880 上海 浦东 周浦 瑞和苑 74 整租 南/北 3000元/月 NULL 2室 1厅 1卫 2019-09-01 NULL 需提前预约 低楼层 14层 有 NULL 民水 民电 无 NULL 
SH2314525512061689856 上海 黄浦 打浦桥 日月光中心伯爵居 72 整租 南 12000元/月 (季付价) 1室 2厅 1卫 随时入住 2年以内 需提前预约 低楼层 30层 无 NULL 商水 商电 无 NULL 
SH2289708064015917056 上海 青浦 徐泾 西郊家园(徐泾) 20 整租 南 1600元/月 (月付价) 1室 0厅 1卫 随时入住 3个月以上 随时可 1 3层 NULL NULL NULL NULL NULL NULL 
SH2301362519219896320 上海 青浦 华新 徐泾北城馨浦苑 15 合租 东南 1200元/月 (季付价) 4室 1厅 1卫 随时入住 1年 随时可 1 18层 有 租用车位 民水 民电 有 自采暖 
SH2315050352358981632 上海 闵行 浦江 浦江世博家园二街坊 20 合租 南 1800元/月 (月付价) 3室 1厅 1卫 随时入住 1年以上 随时可 6 11层 有 租用车位 民水 民电 无 NULL 
SH2307174805037645824 上海 闵行 浦江 瑞和城叁街区(汇臻路815弄) 17 合租 南 1050元/月 (月付价) 2室 1厅 1卫 随时入住 6~12个月 随时可 11 11层 无 免费使用 NULL NULL NULL NULL 
SH2302927239719174144 上海 闵行 华漕 爱博一村 30 整租 南 2500元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 低楼层 13层 有 NULL 民水 民电 无 NULL 
SH2307036287057797120 上海 闵行 梅陇 上海阳城 20 合租 东 1900元/月 (月付价) 4室 2厅 3卫 随时入住 1年 随时可 6 6层 无 租用车位 民水 民电 有 NULL 
SH2208500163478298624 上海 青浦 朱家角 阁游路777弄 89 整租 南 2000元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 5层 有 NULL 民水 民电 无 NULL 
SH2309391641158893568 上海 闸北 永和 永和二村 47 整租 南 4000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 有 NULL 
SH2284108824036524032 上海 嘉定 南翔 通用国际 47 整租 南 1800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 7层 有 NULL 民水 民电 无 NULL 
SH2309462695495073792 上海 徐汇 漕河泾 华悦家园 25 合租 南 2500元/月 (月付价) 3室 1厅 3卫 随时入住 1年 随时可 12 31层 有 租用车位 民水 民电 无 NULL 
SH2299951289511190528 上海 青浦 夏阳 金地格林郡 56 整租 南 2400元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 11层 有 NULL 民水 民电 无 自采暖 
SH2263641357832953856 上海 浦东 惠南 听潮民乐苑 15 合租 南 1050元/月 (季付价) 3室 1厅 1卫 随时入住 1~12个月 随时可 5 20层 NULL NULL NULL NULL NULL NULL 
SH2310908535216537600 上海 普陀 长风 芝巷小区 51 整租 南 4500元/月 NULL 1室 1厅 1卫 随时入住 NULL 一般下班后可 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2309190972744925184 上海 嘉定 安亭 日月光伯爵湾 14 合租 南 1100元/月 (月付价) 3室 1厅 1卫 随时入住 1年以上 随时可 3 25层 无 NULL 民水 民电 NULL NULL 
SH2297705724161302528 上海 闵行 莘庄 名都新城（一期、二期） 12 合租 南 1350元/月 (月付价) 4室 1厅 2卫 随时入住 1年 随时可 11 11层 有 租用车位 民水 民电 有 自采暖 
SH2267434767597715456 上海 闵行 华漕 爱博六村 30 整租 北 2100元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 13层 有 NULL 民水 民电 无 NULL 
SH2298495407040774144 上海 静安 江宁路 胶州路524弄 79 整租 南 8000元/月 (季付价) 2室 2厅 1卫 随时入住 2年以内 需提前预约 中楼层 7层 无 NULL 民水 民电 无 NULL 
SH2309108081327611904 上海 闵行 航华 兴隆别墅(闵行) 10 合租 南 1900元/月 (月付价) 5室 0厅 2卫 随时入住 9~12个月 随时可 1 3层 无 NULL 民水 民电 无 NULL 
SH2311598657088536576 上海 普陀 真光 真光八街坊 50 整租 南 3400元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312100716149751808 上海 闵行 浦江 闵浦新苑二村 12 合租 南 1020元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 6 11层 无 NULL 民水 民电 无 NULL 
SH2304209512120459264 上海 普陀 长风 中天SOHO 51 整租 南 4600元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 有 NULL 商水 商电 无 NULL 
SH2313783756520947712 上海 浦东 周浦 万达广场(周浦) 55 整租 南 3200元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 27层 无 NULL 商水 商电 无 NULL 
SH2203365321501310976 上海 浦东 惠南 彩虹雅苑 111 整租 南/北 2000元/月 NULL 3室 2厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2308576838617931776 上海 浦东 世博 上南十村 43 整租 南 3800元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2293191910774276096 上海 青浦 徐泾 蟠龙馨苑 23 整租 南 1800元/月 (月付价) 1室 0厅 1卫 随时入住 1年 随时可 13 18层 无 租用车位 NULL NULL NULL NULL 
SH2299744436957224960 上海 普陀 真如 真如西村 46 整租 南 4000元/月 NULL 2室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303699461701894144 上海 浦东 北蔡 龙博公寓 17 合租 南 1400元/月 (月付价) 3室 0厅 2卫 随时入住 1~2年 随时可 9 12层 有 租用车位 民水 民电 有 NULL 
SH2274405228407160832 上海 徐汇 华泾 盛华景苑 82 整租 南 6500元/月 NULL 2室 1厅 1卫 2019-08-16 NULL 需提前预约 高楼层 32层 有 NULL 民水 民电 无 NULL 
SH2300502326684950528 上海 杨浦 控江路 凤城二村 30 整租 北 3500元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 有 NULL 
SH2308451559379845120 上海 黄浦 新天地 淡水路442弄 38 整租 南 7500元/月 (季付价) 1室 1厅 1卫 随时入住 6~36个月 随时可 4 6层 无 NULL 民水 民电 有 NULL 
SH2279259731132686336 上海 虹口 曲阳 运光小区 40 整租 南 4200元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2303400381503782912 上海 徐汇 徐家汇 东安二村 50 整租 南 6200元/月 (季付价) 2室 1厅 1卫 2019-08-17 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2278852501836922880 上海 嘉定 南翔 瑞和云庭 74 整租 南 2000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 24层 无 NULL NULL NULL NULL NULL 
SH2309644017656676352 上海 黄浦 董家渡 南花苑 88 整租 南 9000元/月 (季付价) 2室 2厅 1卫 随时入住 1~3年 随时可 5 6层 无 租用车位 民水 民电 有 自采暖 
SH2065808109577699328 上海 浦东 惠南 远洋万和四季 90 整租 南 2100元/月 NULL 3室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 17层 无 NULL 民水 民电 有 自采暖 
SH2315230188419416064 上海 长宁 中山公园 利星国际广场 8 合租 南 3360元/月 (季付价) 4室 1厅 2卫 随时入住 1年 随时可 18 38层 有 NULL 民水 民电 有 NULL 
SH2291868385044611072 上海 徐汇 康健 迎春园 71 整租 南 6200元/月 (季付价) 2室 1厅 1卫 随时入住 3年以内 需提前预约 中楼层 28层 有 NULL 民水 民电 有 自采暖 
SH2313772236948897792 上海 徐汇 植物园 东泉小区 49 整租 南 5400元/月 (季付价) 2室 0厅 1卫 2019-08-15 1年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2286786193956020224 上海 浦东 泥城镇 云树仁居 101 整租 南 1200元/月 NULL 3室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2290514559695863808 上海 普陀 中远两湾城 中远两湾城 22 合租 南 2600元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 15 34层 有 NULL 民水 民电 无 NULL 
SH2237021021649772544 上海 静安 南京西路 上海壹街区 64 整租 南 9500元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 32层 有 NULL 民水 民电 有 自采暖 
SH2289754627249274880 上海 徐汇 植物园 华沁家园 90 整租 南 4700元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 26层 有 NULL 民水 民电 无 NULL 
SH2304865941306998784 上海 青浦 赵巷 崧泽华城佳福雅苑 77 整租 南 2200元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 17层 有 NULL 民水 民电 有 NULL 
SH2292763403363549184 上海 浦东 惠南 绿地峰汇 55 整租 南/北 2200元/月 (季付价) 3室 1厅 2卫 随时入住 NULL 需提前预约 低楼层 18层 无 NULL 民水 民电 无 NULL 
SH2303709805854072832 上海 徐汇 衡山路 淮海中路1270弄 32 整租 东/东南 5800元/月 NULL 1室 0厅 1卫 2019-08-18 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2293269430815162368 上海 徐汇 漕河泾 航天新苑 28 合租 南 3200元/月 (月付价) 3室 1厅 3卫 随时入住 4~12个月 随时可 3 6层 无 NULL 民水 民电 有 NULL 
SH2313417375628148736 上海 普陀 武宁 新湖明珠城 14 合租 南 3300元/月 (月付价) 4室 2厅 1卫 随时入住 1年以上 随时可 9 19层 有 NULL 民水 民电 有 NULL 
SH2280900764761333760 上海 黄浦 淮海中路 复兴中路626弄 57 整租 南 10000元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2313622369996120064 上海 浦东 金桥 沪东新村 50 整租 南 3500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2305790035817414656 上海 浦东 唐镇 金融家 15 合租 北 1700元/月 (月付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 4 8层 NULL 租用车位 NULL NULL NULL 自采暖 
SH2209291344898703360 上海 静安 南京西路 静安紫苑 52 整租 南/北 8300元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 27层 有 NULL 民水 民电 无 自采暖 
SH2097635591197310976 上海 浦东 川沙 天和湖滨家园(公寓) 129 整租 南/北 3800元/月 (季付价) 3室 2厅 2卫 随时入住 1年以内 需提前预约 中楼层 13层 有 NULL 民水 民电 有 NULL 
SH2306333212311830528 上海 静安 曹家渡 华纺小区 80 整租 南 8800元/月 (季付价) 2室 2厅 1卫 2019-08-09 1年以内 需提前预约 低楼层 7层 无 NULL 民水 民电 有 自采暖 
SH2304959735658446848 上海 闵行 老闵行 景谷苑 18 合租 南 1300元/月 (月付价) 3室 1厅 2卫 随时入住 1年 随时可 6 6层 无 NULL 民水 民电 无 NULL 
SH2308739332078305280 上海 浦东 川沙 思凡花苑三街坊 74 整租 南 2100元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2308733385444966400 上海 徐汇 华泾 华泾五村 18 合租 南 1900元/月 (季付价) 3室 1厅 1卫 随时入住 6~12个月 随时可 4 6层 无 租用车位 民水 民电 无 NULL 
SH2288846956627771392 上海 浦东 高东 品欣雅苑 95 整租 南 3800元/月 (季付价) 2室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 20层 无 NULL 民水 民电 无 NULL 
SH2252744650286694400 上海 嘉定 外冈 外冈佳苑 81 整租 南 1800元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 未知 18层 有 NULL 民水 民电 无 NULL 
SH2217814482925920256 上海 奉贤 海湾 嘉业海悦苑 91 整租 南/北 1200元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 13层 无 NULL 民水 民电 无 NULL 
